Tweet User,Location,Following,Followers,Total Tweets,Tweet,Time of Tweet,Account Created
lumekaaveknew,"Alkebulan, Afur ika",539,6627,52616,"Remarkable movie!!! I enjoyed the special Heritage/Shaka Day screening, it was definitely worth the R200 I spent😁. I’m definitely going for seconds when it’s fully back at theatres. WomanKing  Dahomey Agojie tHERsday thursdayvibes  ",2022-09-29 08:58:13+00:00,2012-09-28 19:08:40+00:00
MadTr8r,"California, USA",3409,382,7960, Allege? Uh they were smack in the thick of it trading their own people for power and profit 😂 what kind of comical article is this WomanKing WomanKingSlaveTraders,2022-09-29 07:39:06+00:00,2009-03-31 13:50:39+00:00
LyricalMycheal,worldwide,935,7102,57432,I am sooooo excited about this 🦁The WomanKing is for Africa 🔥 ,2022-09-29 07:33:18+00:00,2010-09-03 17:23:50+00:00
LyricalMycheal,worldwide,935,7102,57432,Uganda is doing good lately on the big stage. _lagum was in Idris Elba’s ThreeThousandYearsOfLonging and SheilaAtim is in the WomanKing also saw her in DoctorStrangeInTheMultiverseOfMadness ❤️🦁👌 ,2022-09-29 07:32:35+00:00,2010-09-03 17:23:50+00:00
martinaodira8,"Nairobi, Kenya",169,21,175,💫She had a fire inside her.She wondered if the fire was to warm her or destroy her.Then she realized.A fire had no motive.Only she could have that.THE POWER WAS HERS!💥👑_ Matt HaigWomanKing she_her Tbt ,2022-09-29 06:57:01+00:00,2017-04-03 17:27:55+00:00
xjordanichellex,"Atlanta, GA",1203,1301,53671,I will boycott Woman King as soon as America labels the Confederacy as traitors. History is history right?WomanKing,2022-09-29 06:51:05+00:00,2009-07-24 10:46:11+00:00
BriaNicole002,"Los Angeles, CA",239,385,6824,WomanKing was so good I lowkey wanna go see it again.,2022-09-29 06:28:06+00:00,2013-10-14 23:27:29+00:00
MsNadaNee,New Orleans ;La to Atlanta; Ga,433,240,46904,I wonder if we will get a WomanKing ll?,2022-09-29 05:40:34+00:00,2012-10-01 05:46:58+00:00
SavvyAunty,,473,473,68757,"Tonight I went to see  and it was FANTASTIC.  is, well, she’s Viola Fucking Davis. 🔥🥰 🔥Lashana Lynch played my favorite character. Also, how come no one told me this was a mother/daughter movie?! I was unprepared. 😭 Go see WomanKing in theaters now",2022-09-29 05:34:49+00:00,2009-08-05 03:47:03+00:00
RafiDAngelo,NYC,946,9666,15527,Viola Davis is great in WomanKing as expected but Thuso Mbedu my GOD 😱She has the range! ,2022-09-29 05:32:33+00:00,2010-10-18 19:25:49+00:00
